obj_1	obj_2	ss
['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	1.0
['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	['D6RBM9', 'E7EWK1', 'E7EWK3', 'E7EWK4', 'E9PC35', 'E9PD89', 'Q16537', 'Q16538', 'Q16539', 'Q3KNV8', 'Q5SYW2', 'Q8IY31', 'Q8IY33', 'Q8IY34', 'Q86YF9']	0.15017125415482666
['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	['E9PNB0', 'E9PNB1', 'E9PNB9', 'F5H3Y3', 'F8VRL0', 'F8VRL2', 'F8VRL4', 'F8VRL7', 'H0Y337', 'H0Y339', 'H0YAE6', 'H0YAE7']	0.3594072348951791
['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	['H0YAE8', 'H0YAE9', 'H0YJ50', 'H0YJ51', 'H0YJ54', 'H0YJ55', 'H0YJ57', 'H0YJ58', 'H0YJ59', 'H0YLG0', 'H0YLG1', 'H0YLG5', 'H0YLG7', 'I3L3E6', 'J3JS34', 'J3QR31', 'J3QR33', 'J3QR35', 'J3QR36', 'K7EMN0']	0.1494557517898765
['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	['K7EMN1', 'K7EMN2', 'K7EMN3', 'K7EMN7', 'Q8IY37', 'Q8NHK3', 'Q8WW59']	0.20402033486141555
['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	['K7EQR0', 'K7EQR1', 'Q16533', 'Q16534']	0.017858333568068017
['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	['K7EQR2', 'K7EQR6', 'K7EQR7', 'M0QXX5', 'M0QXX8', 'M0R0Q1', 'M0R0Q4', 'M0R0Q6', 'M0R0Q7', 'M0R0Q9', 'M0R1W1', 'O00584', 'P0DJD0']	0.16655598389292658
['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	['P0DJD1', 'P0DJD3', 'P0DJD4', 'P0DJD7', 'P0DJD8', 'P0DJD9', 'P25189', 'P30613', 'Q02487', 'Q05682', 'Q13907', 'Q16280', 'Q16281', 'Q16288', 'Q16531']	0.2664494644778468
['Q9P0N5', 'B7Z574', 'B7ZC83', 'C9IZU3', 'C9IZU8', 'C9J7H8', 'C9JAC8', 'D6RBM0', 'D6RBM2', 'D6RBM3', 'D6RBM5', 'D6RBM6', 'D6RBM7', 'D6RBM8', 'Q7Z7H8']	['Q5T621', 'Q6NT52', 'Q6NT55', 'Q6P2D0', 'Q6R6M4', 'Q6UW56', 'Q6ZQY3', 'Q7Z7H3']	0.1223732067783159
['D6RBM9', 'E7EWK1', 'E7EWK3', 'E7EWK4', 'E9PC35', 'E9PD89', 'Q16537', 'Q16538', 'Q16539', 'Q3KNV8', 'Q5SYW2', 'Q8IY31', 'Q8IY33', 'Q8IY34', 'Q86YF9']	['D6RBM9', 'E7EWK1', 'E7EWK3', 'E7EWK4', 'E9PC35', 'E9PD89', 'Q16537', 'Q16538', 'Q16539', 'Q3KNV8', 'Q5SYW2', 'Q8IY31', 'Q8IY33', 'Q8IY34', 'Q86YF9']	1.0
